Opened the webpage: 2024-08-05 18:14:28
Page loaded: 2024-08-05 18:14:28
District folder '07 अमरावती' created or already exists: 2024-08-05 18:14:34
Taluka folder '10 भातकुली' created or already exists: 2024-08-05 18:14:35
Plot info: {'Survey No.': '65/5', 'Total Area': '1.7400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:45
Plot info: {'Survey No.': '66', 'Total Area': '1.2300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:46
Plot info: {'Survey No.': '67/1', 'Total Area': '0.8300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:47
Plot info: {'Survey No.': '68', 'Total Area': '1.7900', 'Pot kharaba': '0.0100', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:48
Plot info: {'Survey No.': '69', 'Total Area': '7.5200', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:49
Plot info: {'Survey No.': '7', 'Total Area': '1.5100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:51
Plot info: {'Survey No.': '70', 'Total Area': '1.8800', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:52
Plot info: {'Survey No.': '71', 'Total Area': '1.6400', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:53
Plot info: {'Survey No.': '72/3', 'Total Area': '1.0800', 'Pot kharaba': '0.0200', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:54
Plot info: {'Survey No.': '73', 'Total Area': '0.6600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:56
Plot info: {'Survey No.': '74/5', 'Total Area': '0.9500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:57
Plot info: {'Survey No.': '75', 'Total Area': '3.7300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:58
Plot info: {'Survey No.': '76', 'Total Area': '0.2200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:16:59
Plot info: {'Survey No.': '77', 'Total Area': '0.1500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:17:00
Plot info: {'Survey No.': '8/2/ब', 'Total Area': '1.7700', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:17:03
Plot info: {'Survey No.': '9/4', 'Total Area': '0.7500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:17:05
Village '270700100078210000 गोपगव्हाण' processed: 2024-08-05 18:17:05
Time taken for village '270700100078210000 गोपगव्हाण': 0:02:47.252768: 2024-08-05 18:17:05
Script completed for village '270700100078210000 गोपगव्हाण': 2024-08-05 18:17:07
